diffNuisances run on fitDiagnostics_MuTau17_1000_1.root, at 2021-11-25 12:25:55.707712 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots_MuTau17_1000_1.root', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
JEC                                           * -0.00, 0.83*     * -0.00, 0.85*       -0.03
MuTau_stat17_Fake_SRB1                           -0.00, 0.97        +0.00, 0.99       +0.00
MuTau_stat17_Fake_SRB10                          -0.00, 0.98        +0.00, 0.98       -0.02
MuTau_stat17_Fake_SRB11                          -0.00, 0.97        -0.00, 0.97       +0.00
MuTau_stat17_Fake_SRB12                          +0.00, 0.97        +0.00, 0.97       +0.00
MuTau_stat17_Fake_SRB13                          +0.00, 0.96        +0.00, 0.96       -0.02
MuTau_stat17_Fake_SRB14                          +0.00, 0.96        -0.00, 0.96       -0.01
MuTau_stat17_Fake_SRB15                          -0.00, 0.96        +0.00, 0.99       -0.25
MuTau_stat17_Fake_SRB2                           -0.00, 0.98        +0.00, 0.98       +0.01
MuTau_stat17_Fake_SRB3                           -0.00, 0.97        +0.00, 0.97       -0.00
MuTau_stat17_Fake_SRB4                           +0.00, 0.98        -0.00, 0.98       -0.00
MuTau_stat17_Fake_SRB5                           -0.00, 0.98        +0.00, 0.98       -0.04
MuTau_stat17_Fake_SRB6                           +0.00, 1.00        -0.00, 0.98       -0.00
MuTau_stat17_Fake_SRB7                           -0.00, 0.98        +0.00, 0.98       +0.01
MuTau_stat17_Fake_SRB8                           +0.00, 0.97        +0.00, 0.97       -0.00
MuTau_stat17_Fake_SRB9                           +0.00, 0.98        -0.00, 0.98       -0.00
MuTau_stat17_OtherSM_SRB1                        -0.00, 0.98        +0.00, 0.98       +0.01
MuTau_stat17_OtherSM_SRB10                       -0.00, 0.99        +0.00, 0.99       -0.01
MuTau_stat17_OtherSM_SRB11                       -0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_OtherSM_SRB12                       +0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_OtherSM_SRB13                       +0.00, 0.99        +0.00, 0.99       -0.01
MuTau_stat17_OtherSM_SRB14                       +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_OtherSM_SRB15                       +0.00, 0.99        +0.00, 0.99       -0.02
MuTau_stat17_OtherSM_SRB2                        -0.00, 0.98        +0.00, 0.98       +0.01
MuTau_stat17_OtherSM_SRB3                        -0.00, 0.99        +0.00, 0.99       -0.00
MuTau_stat17_OtherSM_SRB4                        +0.00, 0.97        -0.00, 0.98       -0.00
MuTau_stat17_OtherSM_SRB5                        -0.00, 0.99        +0.00, 0.99       -0.03
MuTau_stat17_OtherSM_SRB6                        +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_OtherSM_SRB7                        -0.00, 1.00        +0.00, 0.99       +0.00
MuTau_stat17_OtherSM_SRB8                        +0.00, 0.99        +0.00, 0.99       -0.00
MuTau_stat17_OtherSM_SRB9                        +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_ST_SRB1                             -0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_ST_SRB10                            -0.00, 0.99        +0.00, 0.99       -0.01
MuTau_stat17_ST_SRB11                            -0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_ST_SRB12                            +0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_ST_SRB13                            +0.00, 0.99        +0.00, 0.99       -0.00
MuTau_stat17_ST_SRB14                            +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_ST_SRB15                            -0.00, 0.98        +0.00, 0.99       -0.16
MuTau_stat17_ST_SRB2                             +0.00, 0.99        +0.00, 0.99       +0.00
MuTau_stat17_ST_SRB3                             -0.00, 0.99        +0.00, 0.99       -0.00
MuTau_stat17_ST_SRB4                             +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_ST_SRB5                             -0.00, 0.99        +0.00, 0.99       -0.03
MuTau_stat17_ST_SRB6                             +0.00, 1.01        -0.00, 0.99       -0.00
MuTau_stat17_ST_SRB7                             -0.00, 1.00        +0.00, 0.99       +0.00
MuTau_stat17_ST_SRB8                             +0.00, 0.99        +0.00, 0.99       -0.00
MuTau_stat17_ST_SRB9                             +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_TT_SRB1                             -0.00, 0.96        +0.00, 0.96       +0.01
MuTau_stat17_TT_SRB10                            -0.00, 0.91        +0.00, 0.91       -0.05
MuTau_stat17_TT_SRB11                            -0.00, 0.90        -0.00, 0.90       +0.00
MuTau_stat17_TT_SRB12                            +0.00, 0.90        +0.00, 0.90       +0.01
MuTau_stat17_TT_SRB13                            +0.00, 0.91        +0.00, 0.91       -0.03
MuTau_stat17_TT_SRB14                            +0.00, 0.91        -0.00, 0.91       -0.02
MuTau_stat17_TT_SRB15                            -0.00, 0.96        +0.00, 0.99       -0.24
MuTau_stat17_TT_SRB2                             +0.00, 0.96        +0.00, 0.94       +0.02
MuTau_stat17_TT_SRB3                             -0.00, 0.91        +0.00, 0.91       -0.00
MuTau_stat17_TT_SRB4                             +0.00, 0.90        -0.00, 0.90       -0.01
MuTau_stat17_TT_SRB5                             -0.00, 0.91        +0.00, 0.92       -0.10
MuTau_stat17_TT_SRB6                             +0.00, 0.94        -0.00, 0.93       -0.00
MuTau_stat17_TT_SRB7                             -0.00, 0.93        +0.00, 0.93       +0.02
MuTau_stat17_TT_SRB8                             +0.00, 0.91        +0.00, 0.91       -0.00
MuTau_stat17_TT_SRB9                          * +0.00, 0.90*     * -0.00, 0.90*       -0.00
MuTau_stat17_sig_SRB1                            +0.00, 0.99        -0.00, 1.00       +0.00
MuTau_stat17_sig_SRB10                           +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB11                           +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB12                           +0.00, 0.99        -0.00, 0.99       +0.00
MuTau_stat17_sig_SRB13                           +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB14                           +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB15                           +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB2                            +0.00, 0.99        -0.00, 1.00       -0.00
MuTau_stat17_sig_SRB3                            +0.00, 0.99        -0.00, 0.99       +0.00
MuTau_stat17_sig_SRB4                            +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB5                            +0.00, 0.99        -0.00, 0.99       -0.00
MuTau_stat17_sig_SRB6                            +0.00, 0.99        -0.00, 0.99       +0.00
MuTau_stat17_sig_SRB7                            +0.00, 0.99        -0.00, 0.99       +0.00
MuTau_stat17_sig_SRB8                            +0.00, 0.99        -0.00, 0.99       +0.00
MuTau_stat17_sig_SRB9                            +0.00, 0.99        -0.00, 0.99       +0.00
scale                                            -0.00, 0.93        -0.01, 0.93       -0.09
sigMET                                           +0.00, 0.99        -0.00, 0.99       +0.00
syst2017_JER                                  * -0.00, 0.86*     * -0.00, 0.86*       -0.06
syst2017_bTaggingSF                              -0.00, 0.98        +0.00, 0.98       +0.00
syst2017_muFastSim                               +0.00, 0.99        -0.00, 0.99       +0.00
syst2017_pileupReweight                          -0.00, 1.01        +0.00, 0.99       -0.01
syst2017_tauES                                * +0.00, 0.74*     * -0.00, 0.75*       -0.01
syst2017_tauFastFullSimSF                        +0.00, 0.99        -0.00, 0.99       +0.00
syst2017_tauIDisoSF                           * -0.00, 0.80*     * -0.00, 0.81*       +0.00
syst2017_ttbarSF                              * -0.00, 0.78*     * +0.00, 0.82*       -0.01
syst2017_unclusteredEnergy                       -0.00, 0.96        -0.00, 0.96       +0.06
tauFakeRateJetPartonFlav                      * -0.00, 0.67*     * -0.00, 0.69*       -0.03
