diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2017_tauTriggerSF                            +2.78, 0.67     ! +0.00, 0.61!     *-0.43*      -0.022
syst2018_tauTriggerSF                            +3.55, 0.70     ! +0.00, 0.65!     *-0.40*      -0.022
syst2018_tauIDisoSF                              -0.12, 0.39     ! -0.00, 0.61!     *-0.35*      -0.018
syst2016_tauIDisoSF                              +1.05, 0.77     * -0.00, 0.64*     *-0.33*      -0.018
sigMET                                           +0.00, 1.00        +0.00, 0.21     !-0.32!      -0.006
syst2016_tauTriggerSF                            +2.74, 0.89     ! +0.00, 0.76!     *-0.29*      -0.018
tauFakeRateJetPartonFlav                         +0.18, 0.28     ! -0.00, 0.26!     !+0.25!      +0.005
JEC                                              +0.17, 0.14     ! +0.00, 0.54!     *-0.25*      -0.011
syst2017_tauIDisoSF                              +1.01, 0.90     * +0.00, 0.67*     *-0.22*      -0.012
MuTau_stat18_sig_SRB4                            -0.00, 1.00        +0.00, 0.81     *-0.21*      -0.014
syst2018_luminosity                              +0.63, 0.97     * +0.00, 0.94*       -0.16      -0.013
MuTau_stat18_sig_SRB5                            -0.00, 1.00        +0.00, 0.80     *-0.16*      -0.011
syst2018_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.96       -0.13      -0.011
syst2016_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.96       -0.13      -0.011
EleTau_stat18_sig_SRB5                           -0.00, 1.00        +0.00, 0.80     *-0.13*      -0.009
syst2017_extraMetUnc                             +1.85, 0.65     * +0.00, 0.73*     *-0.12*      -0.007
EleTau_stat16_sig_SRB5                           -0.00, 1.00        +0.00, 0.83     *-0.11*      -0.007
tauFakeRateRegion                                +3.14, 0.69     ! -0.00, 0.88!     *-0.10*      -0.007
syst2018_ttbarSF                                 +0.44, 0.32     ! +0.00, 0.42!     !+0.10!      +0.003
syst2017_luminosity                              +0.48, 1.00     * +0.00, 0.98*       -0.09      -0.007
stat2018_sig_SRB5                                +0.00, 1.00        +0.00, 0.76     *-0.09*      -0.006
normalization                                    +5.51, 0.87     ! +0.00, 0.96!       -0.09      -0.007
MuTau_stat18_sig_SRB10                           -0.00, 1.00        -0.00, 0.81     *-0.09*      -0.006
syst2016_ttbarSF                                 -0.86, 0.65     * +0.00, 0.68*     *+0.08*      +0.004
stat2018_sig_SRB4                                +0.00, 1.00        +0.00, 0.80     *-0.08*      -0.005
stat2018_sig_SRB3                                +0.00, 1.00        +0.00, 0.79     *-0.08*      -0.005
stat2016_sig_SRB5                                +0.00, 1.00        +0.00, 0.83     *-0.08*      -0.005
stat2016_sig_SRB2                                +0.00, 1.00        +0.00, 0.92       -0.08      -0.006
MuTau_stat18_sig_SRB14                           -0.00, 1.00        -0.00, 0.79     *-0.08*      -0.005
MuTau_stat17_sig_SRB4                            -0.00, 1.00        +0.00, 0.86     *-0.08*      -0.006
MuTau_stat16_sig_SRB5                            -0.00, 1.00        -0.00, 0.85     *-0.08*      -0.006
MuTau_stat16_sig_SRB4                            -0.00, 1.00        +0.00, 0.85     *-0.08*      -0.005
scale                                            -4.97, 0.44     ! +0.00, 0.67!     *+0.07*      +0.004
MuTau_stat17_sig_SRB5                            -0.00, 1.00        +0.00, 0.86     *-0.07*      -0.005
EleTau_stat17_sig_SRB4                           -0.00, 1.00        +0.00, 0.88     *-0.07*      -0.005
EleTau_stat17_TT_SRB8                            -0.13, 0.92        -0.00, 0.95       +0.07      +0.006
syst2018_muFastSim                               +0.00, 1.00        -0.00, 0.98       -0.06      -0.005
syst2017_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.97       -0.06      -0.005
syst2017_tauES                                   -1.22, 0.63     * -0.00, 0.63*     *+0.06*      +0.003
syst2016_tauES                                   -0.51, 0.67     * +0.00, 0.45*     !+0.06!      +0.002
syst2016_luminosity                              +0.17, 0.99        -0.00, 0.96       -0.06      -0.004
stat2017_sig_SRB9                                +0.00, 1.00        -0.00, 0.80     *-0.06*      -0.004
stat2016_fake_SRB2                               +3.15, 1.07     ! +0.00, 0.96!       -0.06      -0.005
MuTau_stat18_sig_SRB2                            -0.00, 1.00        -0.00, 0.93       -0.06      -0.005
MuTau_stat17_sig_SRB14                           -0.00, 1.00        -0.00, 0.95       +0.06      +0.005
MuTau_stat17_TT_SRB14                            +0.04, 0.92        -0.00, 0.96       +0.06      +0.004
syst2018_pileupReweight                          +0.01, 0.95        +0.00, 0.98       +0.05      +0.004
syst2018_JER                                     +0.03, 0.47     ! +0.00, 0.84!     *-0.05*      -0.004
MuTau_stat18_OtherSM_SRB4                        +1.76, 1.10     * +0.00, 0.98*       -0.05      -0.004
MuTau_stat17_TT_SRB4                             +1.32, 0.91     * +0.00, 0.94*       -0.05      -0.004
EleTau_stat18_sig_SRB4                           -0.00, 1.00        +0.00, 0.87     *-0.05*      -0.003
EleTau_stat17_sig_SRB8                           -0.00, 1.00        -0.00, 0.98       +0.05      +0.004
syst2018_unclusteredEnergy                       -0.01, 0.28     ! -0.00, 0.89!     *+0.04*      +0.003
syst2017_ttbarSF                                 -0.31, 0.80     * +0.00, 0.66*     *-0.04*      -0.002
syst2017_bTaggingSF                              +0.90, 1.00     * -0.00, 0.98*       -0.04      -0.003
stat2018_sig_SRB8                                +0.00, 1.00        +0.00, 0.88     *-0.04*      -0.003
stat2018_sig_SRB2                                +0.00, 1.00        +0.00, 0.92       -0.04      -0.003
stat2018_fake_SRB12                              -0.59, 0.77     * -0.00, 0.78*     *+0.04*      +0.003
stat2017_sig_SRB5                                +0.00, 1.00        -0.00, 0.81     *-0.04*      -0.003
stat2017_sig_SRB2                                +0.00, 1.00        +0.00, 0.94       -0.04      -0.003
stat2016_fake_SRB13                              -0.59, 0.75     * -0.00, 0.95*       +0.04      +0.003
MuTau_stat18_TT_SRB4                             +1.03, 0.99     * +0.00, 0.99*       -0.04      -0.003
MuTau_stat16_TT_SRB5                             +0.20, 0.98        -0.00, 0.96       -0.04      -0.003
MuTau_stat16_TT_SRB4                             +1.70, 0.92     * +0.00, 0.96*       -0.04      -0.003
EleTau_stat18_sig_SRB1                           -0.00, 1.00        -0.00, 0.98       +0.04      +0.003
EleTau_stat18_TT_SRB6                            -0.26, 0.98        -0.00, 0.98       +0.04      +0.003
EleTau_stat18_Fake_SRB6                          -0.34, 0.96     * -0.00, 0.98*       +0.04      +0.003
EleTau_stat17_sig_SRB5                           -0.00, 1.00        +0.00, 0.84     *-0.04*      -0.003
EleTau_stat17_TT_SRB7                            -0.49, 0.91     * -0.00, 0.92*       +0.04      +0.003
EleTau_stat17_TT_SRB4                            +1.01, 0.92     * +0.00, 0.94*       -0.04      -0.004
EleTau_stat17_Fake_SRB8                          -0.10, 0.95        -0.00, 0.98       +0.04      +0.003
EleTau_stat16_TT_SRB5                            +0.63, 0.97     * +0.00, 0.96*       -0.04      -0.003
syst2017_unclusteredEnergy                       -1.65, 0.62     * -0.00, 0.88*     *-0.03*      -0.002
syst2017_JER                                     -0.41, 0.41     ! +0.00, 0.69!     *+0.03*      +0.002
syst2016_JER                                     -0.04, 0.33     ! -0.00, 0.52!     *+0.03*      +0.001
stat2018_fake_SRB8                               +0.19, 0.66     * +0.00, 0.91*       -0.03      -0.003
stat2018_fake_SRB2                               +1.00, 1.05     * +0.00, 0.96*       -0.03      -0.002
stat2018_fake_SRB11                              -0.58, 0.73     * +0.00, 0.75*     *-0.03*      -0.002
stat2017_sig_SRB8                                +0.00, 1.00        +0.00, 0.90     *-0.03*      -0.002
stat2017_sig_SRB3                                +0.00, 1.00        +0.00, 0.89     *-0.03*      -0.002
stat2017_fake_SRB6                               -0.37, 0.76     * -0.00, 0.80*     *-0.03*      -0.002
stat2017_fake_SRB2                               +1.05, 1.05     * +0.00, 0.95*       -0.03      -0.003
stat2017_fake_SRB12                              -0.85, 0.84     * +0.00, 0.86*     *-0.03*      -0.002
stat2016_sig_SRB4                                +0.00, 1.00        +0.00, 0.84     *-0.03*      -0.002
stat2016_sig_SRB10                               +0.00, 1.00        +0.00, 0.90       -0.03      -0.002
stat2016_fake_SRB6                               -0.35, 0.76     * +0.00, 0.83*     *-0.03*      -0.002
stat2016_fake_SRB1                               -0.52, 0.91     * +0.00, 0.85*     *+0.03*      +0.002
stat2016_TT_SRB2                                 +0.94, 1.02     * -0.00, 0.99*       -0.03      -0.003
MuTau_stat18_sig_SRB15                           -0.00, 1.00        +0.00, 0.86     *-0.03*      -0.002
MuTau_stat18_TT_SRB5                             +0.11, 1.00        +0.00, 0.99       -0.03      -0.002
MuTau_stat18_TT_SRB2                             +0.14, 0.98        -0.00, 0.98       -0.03      -0.003
MuTau_stat18_ST_SRB4                             +0.52, 1.01     * +0.00, 1.00*       -0.03      -0.002
